1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
1654	0.000000	113.092480	0.000000	31.0
1655	-0.761114	113.053833	0.005741	29.4
1656	-0.933010	113.015222	0.006892	29.3
1657	-0.013671	112.976646	0.000403	29.7
1658	-0.603015	112.938105	0.007046	30.0
1659	-0.963289	112.899599	0.009984	30.1
1660	-0.490769	112.861128	0.007266	28.4
1661	-0.745317	112.822692	0.006389	28.9
1662	-0.090592	112.784291	0.001112	29.7
1663	-0.457931	112.745924	0.006320	29.6
1664	-0.980896	112.707593	0.007087	30.1
1665	-0.712197	112.669296	0.007766	30.7
1666	-0.645766	112.631034	0.006440	28.1
1667	-0.474598	112.592806	0.004051	29.1
1668	-0.582354	112.554613	0.005763	30.5
1669	0.000000	112.516455	0.000000	30.4
1670	0.000000	112.478331	0.000000	30.5
1671	-0.766252	112.440241	0.007596	29.7
1672	-0.443244	112.402186	0.004943	28.6
1673	-0.448460	112.364165	0.005786	30.0
1674	-0.655325	112.326179	0.005887	29.5
1675	-0.886505	112.288227	0.007847	31.2
1676	-0.420461	112.250309	0.005584	28.4
1677	-0.878933	112.212425	0.008871	28.6
1678	-0.099367	112.174575	0.002159	29.2
1679	-0.421465	112.136759	0.007360	30.5
1680	-0.806633	112.098977	0.006480	30.3
1681	-0.741942	112.061229	0.005741	31.2
1682	-0.490781	112.023515	0.005141	28.0
1683	-0.721505	111.985834	0.006451	29.5
1684	-0.465385	111.948188	0.005356	29.9
1685	-0.686060	111.910575	0.008772	30.1
1686	0.000000	111.872996	0.000000	30.8
1687	-0.379450	111.835450	0.004175	27.8
1688	-0.676153	111.797939	0.007256	29.4
1689	-0.737584	111.760460	0.005399	30.2
1690	-0.647154	111.723015	0.006979	31.5
1691	-0.868720	111.685604	0.007443	29.7
1692	0.000000	111.648226	0.000000	29.8
1693	0.000000	111.610881	0.000000	29.3
1694	-0.616623	111.573570	0.005660	29.9
1695	-0.581211	111.536292	0.005942	30.6
1696	-0.360242	111.499047	0.004678	30.0
1697	-0.896065	111.461835	0.007244	29.9
1698	0.000000	111.424656	0.000000	28.7
1699	-0.634333	111.387510	0.006674	29.1
1700	-0.823584	111.350398	0.008405	30.2
1701	-0.826688	111.313318	0.008208	30.9
1702	-0.729902	111.276271	0.007167	30.3
1703	-0.741124	111.239257	0.006321	29.2
1704	0.000000	111.202276	0.000000	29.6
1705	-0.310886	111.165328	0.004577	31.2
1706	0.000000	111.128412	0.000000	30.5
1707	0.000000	111.091529	0.000000	29.8
1708	0.000000	111.054679	0.000000	28.4
1709	-0.592394	111.017861	0.005074	28.7
1710	-0.775915	110.981076	0.008029	30.0
1711	-0.000249	110.944323	0.000016	30.5
1712	0.000000	110.907603	0.000000	30.2
1713	-0.482840	110.870915	0.006453	29.1
1714	-0.353209	110.834259	0.004459	29.0
1715	0.000000	110.797636	0.000000	30.0
1716	-0.818291	110.761045	0.006807	29.0
1717	-0.758190	110.724486	0.009503	29.4
1718	-0.727517	110.687959	0.006720	29.6
1719	-0.872625	110.651465	0.006539	29.7
1720	-0.163317	110.615002	0.001681	30.2
1721	-0.831484	110.578572	0.005808	30.4
1722	0.000000	110.542173	0.000000	29.3
1723	0.000000	110.505807	0.000000	28.4
1724	-0.896077	110.469472	0.006691	28.9
1725	-0.912474	110.433169	0.008156	30.3
1726	-0.311889	110.396898	0.007792	31.5
1727	-0.452962	110.360659	0.004892	29.0
1728	-0.756254	110.324451	0.004778	29.2
1729	-0.789381	110.288276	0.005244	29.1
1730	-0.527306	110.252131	0.006194	29.8
