1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
422	-0.706496	74.184808	2.535690	0.012049	3.3
423	-0.690584	75.184262	2.509342	0.013359	3.3
424	-0.704791	76.184261	2.483521	0.013039	3.3
425	-0.699445	75.454442	2.502313	0.013650	3.4
426	-0.705484	76.454442	2.476636	0.013615	2.7
427	-0.701125	76.817811	2.467436	0.026063	2.7
428	-0.714933	77.817782	2.442467	0.016427	3.3
429	-0.688029	77.043221	2.461763	0.012081	3.2
430	-0.673022	78.043218	2.436908	0.015305	3.3
431	-0.701575	77.984005	2.438366	0.011016	3.2
432	-0.667684	78.676185	2.421433	0.018238	3.4
433	-0.701251	77.976283	2.438556	0.017262	3.2
434	-0.714763	78.976104	2.414169	0.008059	3.3
435	-0.697707	78.201698	2.433015	0.018228	3.4
436	-0.717577	79.194590	2.408904	0.019494	3.3
437	-0.698936	78.420045	2.427671	0.022824	3.4
438	-0.700508	77.646861	2.446699	0.022723	3.2
439	-0.683628	78.646861	2.422145	0.017671	3.3
440	-0.688425	77.872300	2.441120	0.016949	2.8
441	-0.667688	77.097740	2.460395	0.018790	3.3
442	-0.665151	76.349542	2.479305	0.021032	3.2
443	-0.692379	77.349542	2.454096	0.015376	3.3
444	-0.690587	76.574989	2.473576	0.020046	3.3
445	-0.706384	77.484188	2.450740	0.017623	3.4
446	-0.675087	78.484116	2.426108	0.013908	3.3
447	-0.698617	77.710121	2.445131	0.021284	3.4
448	-0.683950	78.710121	2.420609	0.013287	3.3
449	-0.716902	77.935560	2.439559	0.014649	3.3
450	-0.722752	77.160999	2.458809	0.018036	3.2
451	-0.677056	78.055475	2.436606	0.018096	3.3
452	-0.682269	79.054359	2.412281	0.014517	3.2
453	-0.703258	80.054358	2.388409	0.018802	3.3
454	-0.673459	79.279797	2.406858	0.019860	3.3
455	-0.674797	80.231531	2.384229	0.020867	3.3
456	-0.660994	81.231531	2.360907	0.021897	3.2
457	-0.690913	82.231531	2.338037	0.016246	3.2
458	-0.658401	82.867232	2.323728	0.015882	3.3
459	-0.690644	83.867225	2.301569	0.014696	3.4
460	-0.702495	83.169116	2.316994	0.018366	2.8
461	-0.692180	84.169116	2.294963	0.015426	3.4
462	-0.690197	85.169116	2.273346	0.014925	3.3
463	-0.720088	84.501988	2.287722	0.020030	3.2
464	-0.697638	83.727427	2.304642	0.016579	3.3
465	-0.671145	82.952871	2.321814	0.016559	3.4
466	-0.647945	83.952871	2.299691	0.016775	3.4
467	-0.653898	84.952793	2.277988	0.015348	3.3
468	-0.695239	85.923042	2.257317	0.013935	2.7
469	-0.687447	86.907998	2.236713	0.019911	3.4
470	-0.700564	86.133438	2.252884	0.014857	3.2
471	-0.717725	85.358880	2.269290	0.014492	3.2
472	-0.685346	86.358879	2.248153	0.029195	3.3
473	-0.711522	87.358870	2.227406	0.025142	3.4
474	-0.686727	88.358870	2.207038	0.025257	3.3
475	-0.694996	89.358870	2.187039	0.015051	3.2
476	-0.693365	90.358870	2.167400	0.011075	3.3
477	-0.694265	91.358659	2.148114	0.011905	3.3
478	-0.705857	90.604091	2.162637	0.021369	3.4
479	-0.707383	91.601023	2.143490	0.015657	3.2
480	-0.699559	90.826465	2.158337	0.015446	3.3
481	-0.705306	91.813576	2.139452	0.022207	3.3
482	-0.686742	92.036109	2.135240	0.017911	3.3
483	-0.673769	91.261548	2.149972	0.019508	3.6
